CÓDIGO,TÍTULO
7215400700308750,SERVICIO DE MANTENIMIENTO DE TAPAS DE CONCRETO DE DESAGÜE
7215400700372506,SERVICIO DE MANTENIMIENTO DE REDES DE ALCANTARILLADO
7215401000094707,SERVICIO DE MANTENIMIENTO PREVENTIVO DE ASCENSORES Y SIMILARES
7215401000228991,SERVICIO DE OPERACION Y SUPERVISION DE ASCENSORES
7215401000230389,SERVICIO DE INSTALACION DE ASCENSORES
7215401000232116,SERVICIO DE MANTENIMIENTO CORRECTIVO DE ASCENSORES Y SIMILARES
7215401000254710,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE CARGADORES - ELEVADORES
7215401000276696,SERVICIO DE INSTALACION DE MONTACARGA
7215401000337475,SERVICIO DE ACONDICIONAMIENTO DE CABINA DE ASCENSOR
7215401200228301,SERVICIO ENSAYO DE DISEÑO DE MEZCLA DE CONCRETO
7215401200341205,SERVICIO DE SUMINISTRO E INSTALACION DE PLACA COLABORANTE
7215401200369300,SERVICIO DE ENCOFRADO Y DESENCOFRADO PARA CONSTRUCCION DE PISTAS Y VEREDAS
7215401200370395,SERVICIO DE ENCOFRADO Y DESENCOFRADO PARA CONSTRUCCION DE PUENTES
7215401200374189,SERVICIO DE ENCOFRADO Y DESENCOFRADO PARA CONSTRUCCION DE EDIFICACIONES
7215401300228236,SERVICIO DE REPOSICION DE MURO DE CERCO PERIMETRICO
7215401300230376,SERVICIO DE INSTALACION DE CERCO ELECTRICO
7215401300230445,SERVICIO DE INSTALACION DE CERCO PERIMETRICO DE FIERRO CON MALLA
7215401300230446,SERVICIO DE INSTALACION DE CERCO DE SEGURIDAD
7215401300230447,SERVICIO DE INSTALACION DE CERCOS PRE FABRICADOS
7215401300230638,SERVICIO DE MANTENIMIENTO DE CERCO ELECTRICO
7215401300230639,SERVICIO DE MANTENIMIENTO PREVENTIVO DE MALLA DE CERCO PERIMETRICO
7215401300230641,SERVICIO DE MANTENIMIENTO PREVENTIVO DE CERCO PERIMETRAL
7215401300230666,SERVICIO DE MANTENIMIENTO DEL CERCO DE SEGURIDAD
7215401300336808,SERVICIO DE MANTENIMIENTO PREVENTIVO DE CERCO ELECTRICO
7215401300348062,SERVICIO DE MANTENIMIENTO DE CERCO DE MADERA
7215401300348239,SERVICIO DE MANTENIMIENTO DE CERCO PERIMETRICO
7215401300365646,SERVICIO DE INSTALACION DE CERCO DE MADERA
7215401400225271,SERVICIO DE ACONDICIONAMIENTO DE ESTRUCTURA DE FIBRA VIDRIO PARA GPT DE ECOSONDA
7215401800230665,SERVICIO DE MANTENIMIENTO DE PILETAS
7215402000086344,SERVICIO DE MANTENIMIENTO CORRECTIVO DE RED DE GASES MEDICINALES
7215402000093881,SERVICIO DE INSTALACION DEL GAS LICUADO DE PETROLEO Y GAS CARBONICO PARA LABORATORIO
7215402000227283,SERVICIO DE EVALUACION DEL SISTEMA DE GENERACION DE OXIGENO HOSPITALARIO
7215402000230232,SERVICIO DE INSTALACION DE SISTEMA DE AIRE COMPRIMIDO PARA LABORATORIO
7215402000230233,SERVICIO DE INSTALACION DE SISTEMA DE AIRE COMPRIMIDO PARA CENTRAL DE ESTERILIZACION
7215402000230349,SERVICIO DE INSTALACION DE TOMAS PARA RED DE OXIGENO
7215402000230352,SERVICIO DE INSTALACION DE REDES DE DISTRIBUCION Y TOMAS MURALES PARA GAS MEDICINAL Y VACIO
7215402000276698,SERVICIO DE INSTALACION DE REDES DE DISTRIBUCION DE VACIO MEDICINAL
7215402000286681,SERVICIO DE INSTALACION DE TUBERIA PARA AIRE COMPRIMIDO DE USO MEDICINAL
7215402000336576,SERVICIO DE MANTENIMIENTO PREVENTIVO DE RED DE GASES MEDICINALES
7215402000385317,SERVICIO DE INSTALACION DE PLANTA DE OXIGENO MEDICINAL
7215402000389596,SERVICIO DE INSTALACION DE TUBERIAS DE GAS PARA LABORATORIO
7215402000390147,SERVICIO DE INSTALACION DE SISTEMA DE DISTRIBUCION Y ENVASADO DE OXIGENO MEDICINAL
7215402100230513,SERVICIO DE INSTALACION DE LAMINA DE SEGURIDAD EN VIDRIOS DE PUERTAS Y VENTANAS DE EDIFICACIONES
7215402200094030,SERVICIO DE INSTALACION DE TANQUE HIDRONEUMATICO
7215402200094681,SERVICIO DE MANTENIMIENTO CORRECTIVO DE PURIFICADORES DE AGUA
7215402200094682,SERVICIO DE MANTENIMIENTO PREVENTIVO DE POZO DE AGUA
7215402200094683,SERVICIO DE MANTENIMIENTO DE POZO DE AGUA
7215402200094786,SERVICIO DE MANTENIMIENTO DE VALVULAS Y COMPUERTAS RADIALES DE REPRESA
7215402200094787,SERVICIO DETECCION FUGAS NO VISIBLES REDES DE DISTRIBUCION Y CONEXIONES
7215402200094789,SERVICIO DE MANTENIMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO
7215402200094791,SERVICIO DE MANTENIMIENTO DE TUBERIAS Y CONEXIONES
7215402200094794,SERVICIO DE MANTENIMIENTO DE ALCANTARILLAS
7215402200094798,SERVICIO DE MANTENIMIENTO CORRECTIVO DE PLANTA DE TRATAMIENTO DE AGUA BLANDA
7215402200094799,SERVICIO DE MANTENIMIENTO PREVENTIVO  DEL TANQUE CALENTADOR DE AGUA
7215402200094800,SERVICIO DE MANTENIMIENTO CORRECTIVO DE ABLANDADOR DE AGUA
7215402200094802,SERVICIO DE MANTENIMIENTO CORRECTIVO DE TUBERIAS Y VALVULAS DE LINEA DE SUCCION DE AGUA BLANDA
7215402200094803,SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMA DE RECIRCULACION DE AGUA
7215402200231957,SERVICIO DE MANTENIMIENTO CORRECTIVO DE TOMA FUERZA HIDRAULICO
7215402200232148,SERVICIO DE MANTENIMIENTO CORRECTIVO DE GATA HIDRAULICA
7215402200254705,SERVICIO DE MANTENIMIENTO PREVENTIVO DE PRENSA
7215402200286327,SERVICIO DE DISEÑO HIDRAULICO DE ESTACION DE BOMBEO
7215402200290291,SERVICIO DE MANTENIMIENTO PREVENTIVO DE MANGUERA HIDRAULICA
7215402200298718,SERVICIO DE MANTENIMIENTO PREVENTIVO DE BOMBA DE AGUA
7215402200311229,SERVICIO DE INSTALACIÓN DE EQUIPO CLORADOR
7215402200336577,SERVICIO DE MANTENIMIENTO PREVENTIVO DE TOMA FUERZA HIDRAULICO
7215402200336583,SERVICIO DE MANTENIMIENTO PREVENTIVO DE ABLANDADOR DE AGUA
7215402200336588,SERVICIO DE MANTENIMIENTO PREVENTIVO DE PLANTA DE TRATAMIENTO DE AGUA BLANDA
7215402200336589,SERVICIO DE MANTENIMIENTO PREVENTIVO DE PURIFICADORES DE AGUA
7215402200348034,SERVICIO DE MANTENIMIENTO PREVENTIVO DE CAMARA DE BOMBEO DE DESAGUE
7215402200348035,SERVICIO DE MANTENIMIENTO DE CAMARA DE BOMBEO DE DESAGUE
7215402200351479,SERVICIO DE MANTENIMIENTO DEL SISTEMA DE ALCANTARILLADO
7215402200352146,SERVICIO DE MANTENIMIENTO DE COMPUERTAS DE SISTEMA DE ALCANTARILLADO
7215402200354831,SERVICIO DE INSTALACION DE SISTEMA DE BOMBEO PARA AGUA POTABLE
7215402200356631,SERVICIO DE INSTALACION DE BOMBA PARA CAMARA DE BOMBEO DE DESAGUE
7215402200359714,SERVICIO DE MANTENIMIENTO DE PLANTA COMPACTA DE TRATAMIENTO DE AGUA POTABLE
7215402200361138,SERVICIO DE INSTALACION DE LA CAMARA REDUCTORA DE PRESION
7215402200361139,SERVICIO DE INSTALACION DE LA CAMARA DE DERIVACION
7215402200361141,SERVICIO DE INSTALACION DE VALVULAS DE AIRE
7215402200361142,SERVICIO DE INSTALACION DE VALVULAS DE PURGA PARA REDES DE AGUA POTABLE
7215402200361144,SERVICIO DE INSTALACION DE HIDRANTES
7215402200365600,SERVICIO DE FABRICACION E INSTALACION DE SISTEMA DE CLORACION PARA SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE
7215402200367010,SERVICIO DE INSTALACION DE VALVULAS DE CONTROL PARA REDES DE AGUA POTABLE Y ALCANTARILLADO
7215402200367065,SERVICIO DE INSTALACION DE VALVULAS DE CONTROL PARA PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES
7215402200367497,SERVICIO DE INSTALACION DE BOMBAS PARA PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES
7215402200368255,SERVICIO DE INSTALACION DE VALVULAS Y TUBERIAS PARA CAMARA DE DERIVACION
7215402200368950,SERVICIO DE MANTENIMIENTO PREVENTIVO DE BANCO DE PRUEBA PARA MEDIDOR DE AGUA
7215402200368951,SERVICIO DE MANTENIMIENTO CORRECTIVO DE BANCO DE PRUEBA PARA MEDIDOR DE AGUA
7215402200370792,SERVICIO DE FABRICACION DE CAMARA DE CONCRETO PARA MACROMEDIDOR
7215402200375023,SERVICIO DE MANTENIMIENTO CORRECTIVO DE MEDIDOR DE CALIDAD DE AGUA
7215402200380672,SERVICIO DE MANTENIMIENTO CORRECTIVO DE SISTEMA DE PRESION CONSTANTE DE AGUA
7215402200382846,SERVICIO DE MANTENIMIENTO DE SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE
7215402400230571,SERVICIO DE INSTALACION DE DISTINTIVOS INSTITUCIONALES
7215402400230572,SERVICIO DE RETIRO DE PLATAFORMA DE METAL
7215402400230576,SERVICIO DE INSTALACION DE LETRAS DE BRONCE
7215402400230674,SERVICIO DE MANTENIMIENTO DE PLACAS RECORDATORIAS DE METAL
7215402400232084,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE OLLAS
7215402400255249,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE TIJERALES DE FIERRO
7215402400286684,SERVICIO DE INSTALACION DE LETRAS DE ACERO
7215402400308913,"SERVICIO DE MANTENIMIENTO DE PLACAS, RECORDATORIOS Y CUADROS"
7215402400333936,SERVICIO DE CONFECCION DE PLACAS RECORDATORIAS
7215402400351483,SERVICIO DE FABRICACION E INSTALACION DE PLACAS DE METAL PARA IDENTIFICACION
7215402400352918,SERVICIO DE FABRICACION DE ORNAMENTOS
7215402400367553,SERVICIO DE INSTALACION DE ASIENTOS CON TECHO PARA VEREDAS Y PARQUES
7215402700230536,SERVICIO DE INSTALACION DE POSTE DE CEMENTO
7215402700387912,SERVICIO DE INSTALACION DE POSTES DE ELECTRIFICACION RURAL
7215402800230483,SERVICIO DE INSTALACION DE LETREROS DE SEÑALIZACION
7215402800230554,SERVICIO DE INSTALACION  DE ROTULADOS EN VINIL
7215402800230668,SERVICIO DE PINTADO DE AREA DE ESTACIONAMIENTO VEHICULAR
7215402800230724,"SERVICIO DE SEÑALIZACION DE LA AVENIDA, PISTAS Y SIMILARES"
7215402800230725,SERVICIO DE SEÑALIZACION DE PLAYA DE ESTACIONAMIENTO
7215402800231092,SERVICIO DE MANTENIMIENTO DE PLACAS DE SEÑALIZACION
7215402800232436,SERVICIO DE DERECHO DE USO DE SEÑAL DE RADIO HF
7215402800286685,SERVICIO DE CONFECCION DE LETREROS DE SEÑALIZACION CON LOGOTIPO DE ENTIDAD
7215402800305771,SERVICIO DE INSTALACION DE SEÑALIZACIONES DE RUTAS DE EVACUACION
7215402800308915,SERVICIO DE REPARACIÓN DE LETREROS DE METAL
7215402800359075,SERVICIO DE PINTADO DE CICLOVIA
7215403200228237,SERVICIO DE RESANE DE MARCOS DE PUERTAS Y VENTANAS
7215403200230437,SERVICIO DE INSTALACION DE DIVISOR DE VIDRIO PARA AMBIENTE
7215403200230443,SERVICIO DE INSTALACION DE VENTANA MADERA
7215403200230481,SERVICIO DE INSTALACION DE PROTECTOR DE VENTANAS
7215403200230489,SERVICIO DE INSTALACION DE PUERTA METALICA
7215403200230505,SERVICIO DE INSTALACION DE PUERTA DE VIDRIO
7215403200230506,SERVICIO DE INSTALACION DE MAMPARA DE VIDRIO
7215403200230508,SERVICIO DE INSTALACION DE PUERTA DE MADERA
7215403200230531,SERVICIO DE INSTALACION DE LAMINADO PARA MAMPARA
7215403200230533,SERVICIO DE INSTALACION DE PUERTAS PLEGADIZAS
7215403200230545,SERVICIO DE DESINSTALACION DE LAMINA DECORATIVA PARA VIDRIO
7215403200230651,SERVICIO DE MANTENIMIENTO DE VENTANAS
7215403200230672,SERVICIO DE MANTENIMIENTO PREVENTIVO DE PUERTAS ELECTRICAS
7215403200230707,SERVICIO DE MANTENIMIENTO DE PUERTA DE VIDRIO TEMPLADO
7215403200230708,SERVICIO DE PINTADO DE PUERTAS
7215403200230711,SERVICIO DE MANTENIMIENTO DE MAMPARAS
7215403200230716,SERVICIO DE MANTENIMIENTO DE VENTANAS Y REJAS DE FIERRO
7215403200230718,SERVICIO DE MANTENIMIENTO DE PUERTAS CORREDIZAS
7215403200230720,SERVICIO DE MANTENIMIENTO DE PUERTAS LEVADIZAS
7215403200230723,SERVICIO DE MANTENIMIENTO DE PORTONES
7215403200258517,SERVICIO DE DESINSTALACION DE VENTANA DE FIERRO
7215403200272628,SERVICIO DE MANTENIMIENTO DE PUERTA DE MADERA
7215403200286332,SERVICIO DE INSTALACION DE PROTECTOR DE VENTANAS Y PUERTAS EN ACERO INOXIDABLE
7215403200286656,SERVICIO DE INSTALACION DE PUERTA CORTAFUEGO
7215403200298695,SERVICIO DE INSTALACION DE MARCO DE METAL PARA VENTANA
7215403200311192,SERVICIO DE DESINSTALACION DE PUERTA DE MADERA
7215403200311827,SERVICIO DE DESINSTALACION DE VENTANA DE VIDRIO
7215403200354887,SERVICIO DE INSTALACION DE MURO CORTINA
7215403200364774,SERVICIO DE INSTALACION DE REJAS DE PROTECCION EN PUERTAS Y VENTANAS
7215403200365071,SERVICIO DE INSTALACION DE PUERTAS Y VENTANAS
7215403200365335,SERVICIO DE MANTENIMIENTO DE PANELES DE DIVISIONES DE OFICINAS
7215403200367104,SERVICIO DE FABRICACION DE PUERTAS Y VENTANAS DE MADERA
7215403200371048,SERVICIO DE INSTALACION DE PUERTAS DE ALUMINIO
7215403200371230,SERVICIO DE INSTALACION DE MAMPARAS DE ALUMINIO Y VIDRIO
7215403200371232,SERVICIO DE INSTALACION DE PUERTAS DE ALUMINIO Y VIDRIO
7215403200371233,SERVICIO DE INSTALACION DE VENTANAS DE VIDRIO TEMPLADO
7215403200374536,SERVICIO DE INSTALACION DE PUERTAS Y VENTANAS DE ALUMINIO Y VIDRIO
7215403200393728,SERVICIO DE INSTALACIÓN DE VENTANAS ARQUELOGICAS
7215403300229092,SERVICIO DE ELABORACION DE ESCENOGRAFIA
7215403300230403,SERVICIO DE INSTALACION DE ESCENOGRAFIA
7215403300230511,SERVICIO DE INSTALACION DE TELON
7215403300230528,SERVICIO DE INSTALACION DE ESCENARIO
7215403300230530,SERVICIO DE INSTALACION DE ESTRUCTURA PARA PASARELA DE MODELAJE
7215403300286687,SERVICIO DE FABRICACION DE ESTRADO CON BASE DE FIERRO
7215403300287150,SERVICIO DE DESINSTALACION DE ESCENARIO
7215403300287898,SERVICIO DE INSTALACION DE CABINA PARA CONTROL DE LUCES Y SONIDO
7215403300287899,SERVICIO DE INSTALACION DE GRADERIA PARA ESPECTACULOS
7215403300298715,SERVICIO DE MANTENIMIENTO DE ESCENOGRAFÍA
7215403300313302,SERVICIO DE MANTENIMIENTO DE BUTACAS
7215403300358394,SERVICIO DE ACONDICIONAMIENTO DE TARIMAS DE CONCRETO
7215403300369245,SERVICIO DE OPERACION DE TRAMOYA
7215403700231097,SERVICIO DE MANTENIMIENTO DE CAJA FUERTE
7215403700293194,SERVICIO DE APERTURA DE BOVEDA
7215403700362583,SERVICIO DE MANTENIMIENTO CORRECTIVO DE CAJAS DE SEGURIDAD Y PUERTAS DE BOVEDA
7215403700364891,SERVICIO DE MANTENIMIENTO PREVENTIVO DE PUERTA DE BOVEDA
7215404000230574,SERVICIO DE INSTALACION DE GEOMEMBRANA DE PVC
7215404200230573,SERVICIO DE INSTALACION DE ASTAS DE BANDERA
7215404200254781,SERVICIO DE FABRICACION E INSTALACION DE MASTIL DE FIERRO CON BASE DE CONCRETO
7215404200286335,SERVICIO DE DESINSTALACION DE ASTA DE BANDERAS
7215404400230523,SERVICIO DE INSTALACION DE MEDIDOR DE AGUA POTABLE
7215404400356803,SERVICIO DE RETIRO DE MEDIDOR DE AGUA POTABLE
7215404600392733,SERVICIO DE ACONDICIONAMIENTO DE ESCALERA DE EVACUACION TIPO ABIERTA
7215404900254714,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE PANEL SOLAR
7215405600094741,SERVICIO DE MANTENIMIENTO DEL SISTEMA DE IMPULSION DE CISTERNA Y TANQUE ELEVADO
7215405600231928,SERVICIO DE MANTENIMIENTO CORRECTIVO DE TANQUE DE INTERCAMBIADOR DE CALOR
7215405600232111,SERVICIO DE MANTENIMIENTO DE TANQUE ELEVADO
7215405600232129,SERVICIO DE MANTENIMIENTO PREVENTIVO DE CISTERNA DE AGUA
7215405600232137,SERVICIO DE MANTENIMIENTO DE CISTERNA DE AGUA
7215405600272635,SERVICIO DE MANTENIMIENTO DE TANQUE ELEVADO DE CONCRETO ARMADO
7215405600290288,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE SISTEMA DE REFRIGERACION TANQUE FERMENTACION
7215405800340153,SERVICIO DE INSPECCION DE TANQUES
7215406100276699,SERVICIO DE ALQUILER DE EQUIPO MUESTREADOR DE PARTICULAS TOTALES SUSPENDIDAS
7215406100388900,SERVICIO DE ALQUILER DE PURIFICADOR DE AIRE
7215406100392343,ALQUILER DE EQUIPOS DE AIRE ACONDICIONADO DE PRECISION TIPO INROW
7215406400272083,SERVICIO DE ALQUILER DE LUMINARIAS
7215406500231032,SERVICIO DE MANTENIMIENTO CORRECTIVO DE FOTOCOPIADORA
7215406500231033,SERVICIO DE MANTENIMIENTO CORRECTIVO DE FOTOCOPIADORA DE PLANOS
7215406500231040,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE FOTOCOPIADORA
7215406600231050,SERVICIO DE MANTENIMIENTO PREVENTIVO DE DESTRUCTORA DE DOCUMENTOS
7215406600331406,SERVICIO DE MANTENIMIENTO PREVENTIVO DE RELOJES ANTIGUOS
7215406700232820,SERVICIO DE ALQUILER DE TOLDOS
7215406700232822,SERVICIO DE ALQUILER DE TOLDOS Y ESTRADOS
7215406700232824,"SERVICIO DE ALQUILER DE TOLDOS,TABLEROS,MANTELES Y TAPETES"
7215406700232831,SERVICIO DE ALQUILER DE TOLDOS Y SILLAS
7215406700263452,"SERVICIO DE ALQUILER DE TOLDOS, SILLAS Y ESTRADOS"
7215406700276694,"SERVICIO DE ALQUILER DE TOLDOS, MESAS Y SILLAS"
7215406700276695,"SERVICIO DE ALQUILER DE TOLDOS, MESAS, SILLAS Y TABLADILLOS"
7215406700283649,SERVICIO DE ALQUILER DE TOLDOS Y MOBILIARIO
7215406700304135,"SERVICIO DE ALQUILER DE TOLDOS, MESAS, SILLAS Y ESTRADO"
7215406700325560,SERVICIO DE ALQUILER DE ESTRADO
7215406700325566,"SERVICIO DE ALQUILER DE TOLDO, SONIDO, LUCES, TABLADILLO Y PISO TIPO VINILOOK"
7215406700382602,SERVICIO DE ALQUILER DEL PODIO
7215406900230176,SERVICIO DE FABRICACION E INSTALACION DE BARANDA DE SEGURIDAD DE FIERRO
7215406900230565,SERVICIO DE INSTALACION DE BARANDA DE SEGURIDAD DE MADERA
7215406900293190,SERVICIO DE INSTALACION DE BARANDA DE SEGURIDAD DE FIERRO
7215406900372358,SERVICIO DE INSTALACION DE PASAMANOS DE ACERO PARA BARANDAS Y ESCALERAS
7215410100231995,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE COMPRESORA DE AIRE ELECTRICA DE PISTON
7215410100368953,SERVICIO DE ALQUILER DE COMPRESOR DE AIRE EXENTO DE ACEITE PARA AIRE MEDICINAL
7215410300231936,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE BOMBA HIDRAULICA
7215410300348120,SERVICIO DE MANTENIMIENTO CORRECTIVO DE BOMBA PARA AGUA
7215410500268187,SERVICIO DE INSTALACION DE CAJAS DE CONCRETO PARA VALVULAS DE AGUA DE REGADIO
7215410500362064,SERVICIO DE INSTALACION DE VALVULAS REDUCTORAS DE PRESION PARA REDES DE AGUA POTABLE
7215410800326701,SERVICIO DE MANTENIMIENTO PREVENTIVO DE MOTOBOMBAS
7215410900094292,SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMA DE BOMBEO DE AGUA
7215410900094295,SERVICIO DE MANTENIMIENTO CORRECTIVO DE MOTOR DE BOMBEO DE AGUA
7215410900094749,SERVICIO DE MANTENIMIENTO PREVENTIVO DE ELECTROBOMBA SUMERGIBLE
7215410900230548,SERVICIO DE INSTALACION DE BOMBAS A PEDAL PARA SUCCION DE AGUAS SUBTERRANEAS
7215410900230550,SERVICIO DE INSTALACION DE BOMBA DE AGUA
7215410900230631,SERVICIO DE INSTALACION DE SISTEMA DE BOMBA DE AGUA ALTERNAS
7215410900276701,SERVICIO DE INSTALACION DEL SISTEMA DE CONTROL DE NIVEL DE CAMARA BOMBEO DESAGUE
7215410900276702,SERVICIO DE INSTALACION SISTEMA APERTURA Y CONTROL DE NIVEL MECANICO CAMARA BOMBEO DESAGUE
7215410900276703,SERVICIO DE INSTALACION SISTEMA DE IMPULSION Y SUCCION DE CAMARA BOMBEO DESAGUE
7215420100094358,SERVICIO DE CALIBRACION DE COMPROBADOR DE IMPACTO
7215420100094589,SERVICIO DE CALIBRACION DE ESTACION METEOROLOGICA
7215420100094618,SERVICIO DE CALIBRACION DE MULTIMETRO
7215420100094629,SERVICIO DE CALIBRACION DE MICROMETRO
7215420100094630,SERVICIO DE CALIBRACION DE DINAMOMETRO ELECTRONICO
7215420100094632,SERVICIO DE CALIBRACION DE ABRASIMETRO
7215420100094633,SERVICIO DE CALIBRACION DE DENSIMETRO ELECTRONICO
7215420100094634,SERVICIO DE CALIBRACION DE FROTOMETRO
7215420100094642,SERVICIO DE CALIBRACION DE TERMOHIGROMETRO
7215420100094644,SERVICIO DE MANTENIMIENTO CORRECTIVO DE SALINOMETRO
7215420100094648,SERVICIO DE CALIBRACION DE SALINOMETRO
7215420100094651,SERVICIO DE CALIBRACION DE CORRENTOMETRO
7215420100094659,SERVICIO DE CALIBRACION DE FRECUENCIMETRO
7215420100094660,SERVICIO DE CALIBRACION DE ANALIZADOR DE RADIOCOMUNICACIONES
7215420100094661,SERVICIO DE CALIBRACION DE ANALIZADOR DE ESPECTRO
7215420100231007,SERVICIO DE CALIBRACION DE ANALIZADOR DE CAMPO ELECTROMAGNETICO DE BAJA FRECUENCIA
7215420100231008,SERVICIO DE CALIBRACION DE ANALIZADOR DE CAMPO ELECTROMAGNETICO DE ALTA FRECUENCIA
7215420100231125,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE MUESTRADOR HIDROLOGICO
7215420100232056,SERVICIO DE MANTENIMIENTO CORRECTIVO DE OZONIZADOR
7215420100232058,SERVICIO DE MANTENIMIENTO PREVENTIVO DE ESTACION TOTAL
7215420100232072,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE GLUCOMETRO
7215420100265780,SERVICIO DE MANTENIMIENTO PREVENTIVO DE BURETA DIGITAL
7215420100272218,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE TIMPANOMETRO - IMPEDANCIOMETRO
7215420100272221,SERVICIO DE MANTENIMIENTO PREVENTIVO  DE AUDIOMETRO
7215420100272224,SERVICIO DE MANTENIMIENTO PREVENTIVO DE PENETROMETRO DIGITAL
7215420100272225,SERVICIO DE MANTENIMIENTO PREVENTIVO DE VISCOSIMETRO CINEMATICO
7215420100272226,SERVICIO DE MANTENIMIENTO PREVENTIVO DE EXTRACTOMETRO
7215420100272227,SERVICIO DE MANTENIMIENTO PREVENTIVO DE ESTABILOMETRO
7215420100272228,SERVICIO DE MANTENIMIENTO PREVENTIVO DE COHESIOMETRO
7215420100272229,SERVICIO DE MANTENIMIENTO PREVENTIVO DE DENSIMETRO NUCLEAR
7215420100272230,SERVICIO DE MANTENIMIENTO PREVENTIVO DE DENSIMETRO DE INMERSION
7215420100272630,SERVICIO DE CALIBRACION DE SONOMETRO
7215420100272631,SERVICIO DE CALIBRACION DE MANOMETRO
7215420100336823,SERVICIO DE CALIBRACION DE VATIMETRO
7215420100348078,SERVICIO DE CALIBRACION DE EQUIPOS TOPOGRAFICOS
7215420100358130,SERVICIO DE INSPECCION DE TERMOCUPLA
7215420100365660,SERVICIO DE MANTENIMIENTO PREVENTIVO DE VIDEOSCOPIO
7215420100365661,SERVICIO DE MANTENIMIENTO CORRECTIVO DE VIDEOSCOPIO
7215420100365662,SERVICIO DE MANTENIMIENTO PREVENTIVO DE DENSIMETRO DETECTOR DE CONTRABANDO
7215420100365663,SERVICIO DE MANTENIMIENTO CORRECTIVO DE DENSIMETRO DETECTOR DE CONTRABANDO
7215420100365713,SERVICIO DE MANTENIMIENTO CORRECTIVO DE MIRAS TOPOGRAFICAS
7215420100365714,SERVICIO DE MANTENIMIENTO CORRECTIVO DE BRUJULA
7215420100365715,SERVICIO DE MANTENIMIENTO CORRECTIVO DE ECLIMETRO
7215420100365716,SERVICIO DE MANTENIMIENTO CORRECTIVO DE TRIPODE
7215420100365717,SERVICIO DE MANTENIMIENTO CORRECTIVO DE TEODOLITO
7215420100376944,SERVICIO DE CONFECCION E INSTALACION DE SEÑALES VERTICALES
7215430100094539,SERVICIO DE MANTENIMIENTO CORRECTIVO DE TURBINAS DE GENERACION ELECTRICA
7215430100340147,SERVICIO DE MANTENIMIENTO CORRECTIVO DE GENERADOR HIDRAULICO
7215430100348600,SERVICIO DE MANTENIMIENTO PREVENTIVO DE GENERADOR HIDRAULICO
7215430200272633,SERVICIO DE BALANCEO DINAMICO A MOTOVENTILADORES DEL TREN ELECTRICO
7215440100276676,SERVICIO DE INSTALACION DE SISTEMA DE AGUA PARA EQUIPO DE OSMOSIS
7215440200230537,SERVICIO DE INSTALACION DE TUBERIAS PARA LINEA DE VAPOR
7215440200230637,SERVICIO DE MANTENIMIENTO DE LAS REDES DE AGUA Y DESAGUE
7215440200230703,SERVICIO DE MANTENIMIENTO CORRECTIVO DE TRONCAL DE RED DE VAPOR Y CONDENSADO
7215440200356626,SERVICIO DE MANTENIMIENTO DE LINEAS DE CONDUCCION DE AGUA
7215440200391654,"SERVICIO DE ACTIVIDADES OPERATIVAS, MEDIDORES, RECIBOS, INSPECCIONES DE GESTION COMERCIAL DE SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO"
7215450100094015,SERVICIO DE INSTALACION DE MANGUERAS HIDRAULICAS PARA TRACTOR ORUGA
7215450100094016,SERVICIO DE INSTALACION DE CADENAS Y ZAPATAS PARA EXCAVADORA
7215450100094319,SERVICIO DE MANTENIMIENTO CORRECTIVO DE GRUA Y WINCHE HIDRAULICA
7215450100094322,SERVICIO DE MANTENIMIENTO CORRECTIVO DE EJE PIVOTE PARA CARGADOR FRONTAL
7215450100094326,SERVICIO DE MANTENIMIENTO CORRECTIVO DE BOMBA DE INYECCION PARA VOLQUETE
7215450100094329,SERVICIO DE MANTENIMIENTO CORRECTIVO DE BOMBA HIDRAULICA PARA CARGADOR FRONTAL
7215450100094330,SERVICIO DE MANTENIMIENTO PREVENTIVO DE TURBO PARA TRACTOR
7215450100094331,SERVICIO DE MANTENIMIENTO CORRECTIVO DE MOTOR PARA TRACTOR ORUGA
7215450100094332,SERVICIO DE MANTENIMIENTO CORRECTIVO DE BOMBA DE INYECCION PARA TRACTOR ORUGA
7215450100094335,SERVICIO DE MANTENIMIENTO CORRECTIVO DE MOTOR PARA CARGADOR FRONTAL
7215450100094337,SERVICIO DE MANTENIMIENTO PREVENTIVO DE TRACTOR
